X--Trace 1::[transient: TIME],Y--Trace 1::[PR1: V(1)],,X--Trace 2::[transient: TIME],Y--Trace 2::[PR2: V(2)],,X--Trace 3::[transient: TIME],Y--Trace 3::[PR3: V(2)],,X--Trace 4::[transient: TIME],Y--Trace 4::[PR4: V(2)],,X--Trace 5::[transient: TIME],Y--Trace 5::[PR5: V(3)],,X--Trace 6::[transient: TIME],Y--Trace 6::[PR6: V(3)],,X--Trace 7::[transient: TIME],Y--Trace 7::[PR7: V(3)],,X--Trace 8::[transient: TIME],Y--Trace 8::[PR8: V(5)],,X--Trace 9::[transient: TIME],Y--Trace 9::[PR9: V(7)],,X--Trace 10::[transient: TIME],Y--Trace 10::[PR14: V(7)],,X--Trace 11::[transient: TIME],Y--Trace 11::[PR10: V(8)],,X--Trace 12::[transient: TIME],Y--Trace 12::[PR11: V(4)],,X--Trace 13::[transient: TIME],Y--Trace 13::[PR12: V(4)],,X--Trace 14::[transient: TIME],Y--Trace 14::[PR13: V(6)]
0,1.62,,0,1.6183075931279718,,0,1.6183075931279718,,0,1.6183075931279718,,0,1.6064053551665793,,0,1.6064053551665793,,0,1.6064053551665793,,0,1.6064053870293569,,0,1.596177336215334,,0,1.596177336215334,,0,1.5961773361339289,,0,1.62,,0,1.62,,0,1.6080875539438828
1e-7,1.6206283183653514,,1e-7,1.6183325794115162,,1e-7,1.6183325794115162,,1e-7,1.6183325794115162,,1e-7,1.6063096751078683,,1e-7,1.6063096751078683,,1e-7,1.6063096751078683,,1e-7,1.6063097054866597,,1e-7,1.5958759913978402,,1e-7,1.5958759913978402,,1e-7,1.596088627032519,,1e-7,1.62,,1e-7,1.62,,1e-7,1.6079369090182145
2e-7,1.6212566357385019,,2e-7,1.6183290166753148,,2e-7,1.6183290166753148,,2e-7,1.6183290166753148,,2e-7,1.6061797364420523,,2e-7,1.6061797364420523,,2e-7,1.6061797364420523,,2e-7,1.6061797672114475,,2e-7,1.595645060321548,,2e-7,1.595645060321548,,2e-7,1.595958050997086,,2e-7,1.62,,2e-7,1.62,,2e-7,1.607821436248471
4e-7,1.6225132635394095,,4e-7,1.6183272514764806,,4e-7,1.6183272514764806,,4e-7,1.6183272514764806,,4e-7,1.6059262928745874,,4e-7,1.6059262928745874,,4e-7,1.6059262928745874,,4e-7,1.605926323352448,,4e-7,1.5951165615581762,,4e-7,1.5951165615581762,,4e-7,1.5956181981041746,,4e-7,1.62,,4e-7,1.62,,4e-7,1.6075571922694873
8e-7,1.6250264635783653,,8e-7,1.6183293382306898,,8e-7,1.6183293382306898,,8e-7,1.6183293382306898,,8e-7,1.60542615773733,,8e-7,1.60542615773733,,8e-7,1.60542615773733,,8e-7,1.6054261888145853,,8e-7,1.5941607042379486,,8e-7,1.5941607042379486,,8e-7,1.5947270766236503,,8e-7,1.62,,8e-7,1.62,,8e-7,1.6070792525167608
0.0000016,1.6300524191627288,,0.0000016,1.6183289456925702,,0.0000016,1.6183289456925702,,0.0000016,1.6183289456925702,,0.0000016,1.6044204983252193,,0.0000016,1.6044204983252193,,0.0000016,1.6044204983252193,,0.0000016,1.6044205285594921,,0.0000016,1.5920868892391293,,0.0000016,1.5920868892391293,,0.0000016,1.5927220368032462,,0.0000016,1.62,,0.0000016,1.62,,0.0000016,1.6060423606435268
0.0000032,1.6401007746814766,,0.0000032,1.6183322448151731,,0.0000032,1.6183322448151731,,0.0000032,1.6183322448151731,,0.0000032,1.6024147965389333,,0.0000032,1.6024147965389333,,0.0000032,1.6024147965389333,,0.0000032,1.602414827581069,,0.0000032,1.5881353187069793,,0.0000032,1.5881353187069793,,0.0000032,1.5887040579073064,,0.0000032,1.62,,0.0000032,1.62,,0.0000032,1.604066560446835
0.0000064,1.6601690500666972,,0.0000064,1.6183349482021956,,0.0000064,1.6183349482021956,,0.0000064,1.6183349482021956,,0.0000064,1.598404425729739,,0.0000064,1.598404425729739,,0.0000064,1.598404425729739,,0.0000064,1.5984044555737926,,0.0000064,1.5800257031917633,,0.0000064,1.5800257031917633,,0.0000064,1.5806617952970916,,0.0000064,1.62,,0.0000064,1.62,,0.0000064,1.6000117749364908
0.000012479999999999999,1.698093113473714,,0.000012479999999999999,1.618342982295026,,0.000012479999999999999,1.618342982295026,,0.000012479999999999999,1.618342982295026,,0.000012479999999999999,1.5908294014873614,,0.000012479999999999999,1.5908294014873614,,0.000012479999999999999,1.5908294014873614,,0.000012479999999999999,1.5908294314496028,,0.000012479999999999999,1.5648842622554269,,0.000012479999999999999,1.5648842622554269,,0.000012479999999999999,1.5654802348200616,,0.000012479999999999999,1.62,,0.000012479999999999999,1.62,,0.000012479999999999999,1.5924410523932617
0.000024639999999999998,1.7723556843138335,,0.000024639999999999998,1.6183571837954485,,0.000024639999999999998,1.6183571837954485,,0.000024639999999999998,1.6183571837954485,,0.000024639999999999998,1.575994499138846,,0.000024639999999999998,1.575994499138846,,0.000024639999999999998,1.575994499138846,,0.000024639999999999998,1.5759945283179617,,0.000024639999999999998,1.5351561205322908,,0.000024639999999999998,1.5351561205322908,,0.000024639999999999998,1.535733928148797,,0.000024639999999999998,1.62,,0.000024639999999999998,1.62,,0.000024639999999999998,1.5775769962568267
0.000040264999999999995,1.8623345880280056,,0.000040264999999999995,1.6183736570377454,,0.000040264999999999995,1.6183736570377454,,0.000040264999999999995,1.6183736570377454,,0.000040264999999999995,1.5580197340679987,,0.000040264999999999995,1.5580197340679987,,0.000040264999999999995,1.5580197340679987,,0.000040264999999999995,1.5580197623675898,,0.000040264999999999995,1.4991410460263932,,0.000040264999999999995,1.4991410460263932,,0.000040264999999999995,1.499673793876979,,0.000040264999999999995,1.62,,0.000040264999999999995,1.62,,0.000040264999999999995,1.559569475561428
0.000055889999999999995,1.9430007094270643,,0.000055889999999999995,1.6183873327472973,,0.000055889999999999995,1.6183873327472973,,0.000055889999999999995,1.6183873327472973,,0.000055889999999999995,1.5419047095475253,,0.000055889999999999995,1.5419047095475253,,0.000055889999999999995,1.5419047095475253,,0.000055889999999999995,1.5419047371080654,,0.000055889999999999995,1.4668559008328204,,0.000055889999999999995,1.4668559008328204,,0.000055889999999999995,1.4673159434544423,,0.000055889999999999995,1.62,,0.000055889999999999995,1.62,,0.000055889999999999995,1.5434269168926886
0.000071515,2.0112540947037254,,0.000071515,1.6183983384254084,,0.000071515,1.6183983384254084,,0.000071515,1.6183983384254084,,0.000071515,1.5282694973034674,,0.000071515,1.5282694973034674,,0.000071515,1.5282694973034674,,0.000071515,1.528269524275529,,0.000071515,1.4395415892669006,,0.000071515,1.4395415892669006,,0.000071515,1.4399220354255877,,0.000071515,1.62,,0.000071515,1.62,,0.000071515,1.5297697722121868
0.00008714,2.0644718045387465,,0.00008714,1.618405458169956,,0.00008714,1.618405458169956,,0.00008714,1.618405458169956,,0.00008714,1.5176371393235943,,0.00008714,1.5176371393235943,,0.00008714,1.5176371393235943,,0.00008714,1.5176371659101913,,0.00008714,1.4182480923282674,,0.00008714,1.4182480923282674,,0.00008714,1.418524166867744,,0.00008714,1.62,,0.00008714,1.62,,0.00008714,1.5191230310407497
0.000102765,2.1006087121880035,,0.000102765,1.6184092175058078,,0.000102765,1.6184092175058078,,0.000102765,1.6184092175058078,,0.000102765,1.5104171901025572,,0.000102765,1.5104171901025572,,0.000102765,1.5104171901025572,,0.000102765,1.5104172164912222,,0.000102765,1.4037933799304196,,0.000102765,1.4037933799304196,,0.000102765,1.403964033436869,,0.000102765,1.62,,0.000102765,1.62,,0.000102765,1.5118956786156534
0.00011839,2.1182760965563463,,0.00011839,1.618408666697032,,0.00011839,1.618408666697032,,0.00011839,1.618408666697032,,0.00011839,1.5068861419000337,,0.00011839,1.5068861419000337,,0.00011839,1.5068861419000337,,0.00011839,1.5068861683166441,,0.00011839,1.3967332839190043,,0.00011839,1.3967332839190043,,0.00011839,1.3967829571790296,,0.00011839,1.62,,0.00011839,1.62,,0.00011839,1.5083656301453472
0.000134015,2.116795009970483,,0.000134015,1.61840463827358,,0.000134015,1.61840463827358,,0.000134015,1.61840463827358,,0.000134015,1.5071806645343941,,0.000134015,1.5071806645343941,,0.000134015,1.5071806645343941,,0.000134015,1.5071806911725933,,0.000134015,1.3973387577230318,,0.000134015,1.3973387577230318,,0.000134015,1.3972740177951115,,0.000134015,1.62,,0.000134015,1.62,,0.000134015,1.5086683629393423
