X--Trace 1::[transient: TIME],Y--Trace 1::[PR1: V(1)],,X--Trace 2::[transient: TIME],Y--Trace 2::[PR2: V(2)],,X--Trace 3::[transient: TIME],Y--Trace 3::[PR3: V(2)],,X--Trace 4::[transient: TIME],Y--Trace 4::[PR4: V(2)],,X--Trace 5::[transient: TIME],Y--Trace 5::[PR5: V(3)],,X--Trace 6::[transient: TIME],Y--Trace 6::[PR6: V(3)],,X--Trace 7::[transient: TIME],Y--Trace 7::[PR7: V(3)],,X--Trace 8::[transient: TIME],Y--Trace 8::[PR8: V(5)],,X--Trace 9::[transient: TIME],Y--Trace 9::[PR9: V(7)],,X--Trace 10::[transient: TIME],Y--Trace 10::[PR14: V(7)],,X--Trace 11::[transient: TIME],Y--Trace 11::[PR10: V(8)],,X--Trace 12::[transient: TIME],Y--Trace 12::[PR11: V(4)],,X--Trace 13::[transient: TIME],Y--Trace 13::[PR12: V(4)],,X--Trace 14::[transient: TIME],Y--Trace 14::[PR13: V(6)]
0,1.62,,0,1.6182957027507623,,0,1.6182957027507623,,0,1.6182957027507623,,0,1.6182956967401907,,0,1.6182956967401907,,0,1.6182956967401907,,0,1.618295729243448,,0,1.6200057254723017,,0,1.6200057254723017,,0,1.6200057253896814,,0,1.62,,0,1.62,,0,1.6200017365329586
1e-7,1.6206283183653514,,1e-7,1.6183311672395528,,1e-7,1.6183311672395528,,1e-7,1.6183311672395528,,1e-7,1.6181335433883437,,1e-7,1.6181335433883437,,1e-7,1.6181335433883437,,1e-7,1.6181335733766227,,1e-7,1.6194950226892435,,1e-7,1.6194950226892435,,1e-7,1.6198553860364133,,1e-7,1.62,,1e-7,1.62,,1e-7,1.6197464317184167
1.0691647924469276e-7,1.6206717758493783,,1.0691647924469276e-7,1.6183318055844276,,1.0691647924469276e-7,1.6183318055844276,,1.0691647924469276e-7,1.6183318055844276,,1.0691647924469276e-7,1.6181205804699963,,1.0691647924469276e-7,1.6181205804699963,,1.0691647924469276e-7,1.6181205804699963,,1.0691647924469276e-7,1.6181206103015742,,1.0691647924469276e-7,1.6194574829563086,,1.0691647924469276e-7,1.6194574829563086,,1.0691647924469276e-7,1.6198442266484652,,1.0691647924469276e-7,1.62,,1.0691647924469276e-7,1.62,,1.0691647924469276e-7,1.6197276647540815
1.207494377340783e-7,1.6207586908018798,,1.207494377340783e-7,1.6183306629003789,,1.207494377340783e-7,1.6183306629003789,,1.207494377340783e-7,1.6183306629003789,,1.207494377340783e-7,1.6180934155461024,,1.207494377340783e-7,1.6180934155461024,,1.207494377340783e-7,1.6180934155461024,,1.207494377340783e-7,1.618093445031812,,1.207494377340783e-7,1.6193775191858477,,1.207494377340783e-7,1.6193775191858477,,1.207494377340783e-7,1.619820291190627,,1.207494377340783e-7,1.62,,1.207494377340783e-7,1.62,,1.207494377340783e-7,1.6196876892743557
1.4841535471284939e-7,1.6209325206354808,,1.4841535471284939e-7,1.6183211604690328,,1.4841535471284939e-7,1.6183211604690328,,1.4841535471284939e-7,1.6183211604690328,,1.4841535471284939e-7,1.6180431330880864,,1.4841535471284939e-7,1.6180431330880864,,1.4841535471284939e-7,1.6180431330880864,,1.4841535471284939e-7,1.6180431610829122,,1.4841535471284939e-7,1.6191664592442563,,1.4841535471284939e-7,1.6191664592442563,,1.4841535471284939e-7,1.6197604596037938,,1.4841535471284939e-7,1.62,,1.4841535471284939e-7,1.62,,1.4841535471284939e-7,1.6195821869138212
2.0374718867039156e-7,1.621280179943538,,2.0374718867039156e-7,1.618302423099135,,2.0374718867039156e-7,1.618302423099135,,2.0374718867039156e-7,1.618302423099135,,2.0374718867039156e-7,1.6179865876646882,,2.0374718867039156e-7,1.6179865876646882,,2.0374718867039156e-7,1.6179865876646882,,2.0374718867039156e-7,1.6179865952620762,,2.0374718867039156e-7,1.6175416496705661,,2.0374718867039156e-7,1.6175416496705661,,2.0374718867039156e-7,1.6194694016354239,,2.0374718867039156e-7,1.62,,2.0374718867039156e-7,1.62,,2.0374718867039156e-7,1.6187701598657096
2.954627730787946e-7,1.6218564430892608,,2.954627730787946e-7,1.6182930987011814,,2.954627730787946e-7,1.6182930987011814,,2.954627730787946e-7,1.6182930987011814,,2.954627730787946e-7,1.6179739990975044,,2.954627730787946e-7,1.6179739990975044,,2.954627730787946e-7,1.6179739990975044,,2.954627730787946e-7,1.6179742746886467,,2.954627730787946e-7,1.637378323395329,,2.954627730787946e-7,1.637378323395329,,2.954627730787946e-7,1.6220358213797543,,2.954627730787946e-7,1.62,,2.954627730787946e-7,1.62,,2.954627730787946e-7,1.6286835337817127
3.953047865929627e-7,1.6224837630118456,,3.953047865929627e-7,1.6182961171405794,,3.953047865929627e-7,1.6182961171405794,,3.953047865929627e-7,1.6182961171405794,,3.953047865929627e-7,1.6179834613483712,,3.953047865929627e-7,1.6179834613483712,,3.953047865929627e-7,1.6179834613483712,,3.953047865929627e-7,1.6179818068346854,,3.953047865929627e-7,1.4943511730229855,,3.953047865929627e-7,1.4943511730229855,,3.953047865929627e-7,1.6026717803607342,,3.953047865929627e-7,1.62,,3.953047865929627e-7,1.62,,3.953047865929627e-7,1.5572057019922871
4.0199001437412044e-7,1.6225257670097397,,4.0199001437412044e-7,1.6182962056230243,,4.0199001437412044e-7,1.6182962056230243,,4.0199001437412044e-7,1.6182962056230243,,4.0199001437412044e-7,1.6179834722180484,,4.0199001437412044e-7,1.6179834722180484,,4.0199001437412044e-7,1.6179834722180484,,4.0199001437412044e-7,1.6179814668943626,,4.0199001437412044e-7,1.4683515739759032,,4.0199001437412044e-7,1.4683515739759032,,4.0199001437412044e-7,1.599162341263693,,4.0199001437412044e-7,1.62,,4.0199001437412044e-7,1.62,,4.0199001437412044e-7,1.5442123990801648
4.1536046993643594e-7,1.6226097749517545,,4.1536046993643594e-7,1.6182963202338498,,4.1536046993643594e-7,1.6182963202338498,,4.1536046993643594e-7,1.6182963202338498,,4.1536046993643594e-7,1.6179833661681708,,4.1536046993643594e-7,1.6179833661681708,,4.1536046993643594e-7,1.6179833661681708,,4.1536046993643594e-7,1.6179804552906503,,4.1536046993643594e-7,1.4012379492157807,,4.1536046993643594e-7,1.4012379492157807,,4.1536046993643594e-7,1.5901060123002688,,4.1536046993643594e-7,1.62,,4.1536046993643594e-7,1.62,,4.1536046993643594e-7,1.5106723565509663
4.4210138106106695e-7,1.62277779061239,,4.4210138106106695e-7,1.6182963459348483,,4.4210138106106695e-7,1.6182963459348483,,4.4210138106106695e-7,1.6182963459348483,,4.4210138106106695e-7,1.6179829029699015,,4.4210138106106695e-7,1.6179829029699015,,4.4210138106106695e-7,1.6179829029699015,,4.4210138106106695e-7,1.6179767102864513,,4.4210138106106695e-7,1.158012172793033,,4.4210138106106695e-7,1.158012172793033,,4.4210138106106695e-7,1.557298770901063,,4.4210138106106695e-7,1.62,,4.4210138106106695e-7,1.62,,4.4210138106106695e-7,1.389120243739018
4.95583203310329e-7,1.6231138209736815,,4.95583203310329e-7,1.6182960871561214,,4.95583203310329e-7,1.6182960871561214,,4.95583203310329e-7,1.6182960871561214,,4.95583203310329e-7,1.6179819760028182,,4.95583203310329e-7,1.6179819760028182,,4.95583203310329e-7,1.6179819760028182,,4.95583203310329e-7,1.6179625147389152,,4.95583203310329e-7,0.17463453136334767,,4.95583203310329e-7,0.17463453136334767,,4.95583203310329e-7,1.3784561570516427,,4.95583203310329e-7,1.62,,4.95583203310329e-7,1.62,,4.95583203310329e-7,0.8976771423915061
5.238764025699699e-7,1.6232915887396728,,5.238764025699699e-7,1.6182960478634127,,5.238764025699699e-7,1.6182960478634127,,5.238764025699699e-7,1.6182960478634127,,5.238764025699699e-7,1.617981885055125,,5.238764025699699e-7,1.617981885055125,,5.238764025699699e-7,1.617981885055125,,5.238764025699699e-7,1.6179620811265052,,5.238764025699699e-7,0.14923840099394653,,5.238764025699699e-7,0.14923840099394653,,5.238764025699699e-7,1.2428654732716338,,5.238764025699699e-7,1.62,,5.238764025699699e-7,1.62,,5.238764025699699e-7,0.884985422976624
5.494755399048425e-7,1.6234524292047783,,5.494755399048425e-7,1.6182960803510738,,5.494755399048425e-7,1.6182960803510738,,5.494755399048425e-7,1.6182960803510738,,5.494755399048425e-7,1.6179819453165982,,5.494755399048425e-7,1.6179819453165982,,5.494755399048425e-7,1.6179819453165982,,5.494755399048425e-7,1.6179619344252498,,5.494755399048425e-7,0.13389986965980166,,5.494755399048425e-7,0.13389986965980166,,5.494755399048425e-7,1.1312128619354083,,5.494755399048425e-7,1.62,,5.494755399048425e-7,1.62,,5.494755399048425e-7,0.8773199900293288
5.809704493792724e-7,1.6236503125642554,,5.809704493792724e-7,1.6182960732667167,,5.809704493792724e-7,1.6182960732667167,,5.809704493792724e-7,1.6182960732667167,,5.809704493792724e-7,1.617981922156156,,5.809704493792724e-7,1.617981922156156,,5.809704493792724e-7,1.617981922156156,,5.809704493792724e-7,1.6179615960178242,,5.809704493792724e-7,0.11053588838405713,,5.809704493792724e-7,0.11053588838405713,,5.809704493792724e-7,1.006810739074478,,5.809704493792724e-7,1.62,,5.809704493792724e-7,1.62,,5.809704493792724e-7,0.8656438374153215
6.439602683281323e-7,1.6240460775368675,,6.439602683281323e-7,1.6182960780806899,,6.439602683281323e-7,1.6182960780806899,,6.439602683281323e-7,1.6182960780806899,,6.439602683281323e-7,1.6179819261744663,,6.439602683281323e-7,1.6179819261744663,,6.439602683281323e-7,1.6179819261744663,,6.439602683281323e-7,1.61796116868056,,6.439602683281323e-7,0.07856679244119222,,6.439602683281323e-7,0.07856679244119222,,6.439602683281323e-7,0.7949223431220539,,6.439602683281323e-7,1.62,,6.439602683281323e-7,1.62,,6.439602683281323e-7,0.8496672776698586
7.69939906225852e-7,1.624837599628832,,7.69939906225852e-7,1.6182960726918036,,7.69939906225852e-7,1.6182960726918036,,7.69939906225852e-7,1.6182960726918036,,7.69939906225852e-7,1.6179819173549486,,7.69939906225852e-7,1.6179819173549486,,7.69939906225852e-7,1.6179819173549486,,7.69939906225852e-7,1.6179604379307602,,7.69939906225852e-7,0.025062275080690196,,7.69939906225852e-7,0.025062275080690196,,7.69939906225852e-7,0.4856405408087382,,7.69939906225852e-7,1.62,,7.69939906225852e-7,1.62,,7.69939906225852e-7,0.8229283883362885
