X--Trace 1::[transient: TIME],Y--Trace 1::[PR1: V(1)],,X--Trace 2::[transient: TIME],Y--Trace 2::[PR2: V(2)],,X--Trace 3::[transient: TIME],Y--Trace 3::[PR3: V(2)],,X--Trace 4::[transient: TIME],Y--Trace 4::[PR4: V(2)],,X--Trace 5::[transient: TIME],Y--Trace 5::[PR5: V(3)],,X--Trace 6::[transient: TIME],Y--Trace 6::[PR6: V(3)],,X--Trace 7::[transient: TIME],Y--Trace 7::[PR7: V(3)],,X--Trace 8::[transient: TIME],Y--Trace 8::[PR8: V(5)],,X--Trace 9::[transient: TIME],Y--Trace 9::[PR9: V(7)],,X--Trace 10::[transient: TIME],Y--Trace 10::[PR14: V(7)],,X--Trace 11::[transient: TIME],Y--Trace 11::[PR10: V(8)],,X--Trace 12::[transient: TIME],Y--Trace 12::[PR11: V(4)],,X--Trace 13::[transient: TIME],Y--Trace 13::[PR12: V(4)],,X--Trace 14::[transient: TIME],Y--Trace 14::[PR13: V(6)]
0,1.62,,0,1.6183075931279718,,0,1.6183075931279718,,0,1.6183075931279718,,0,1.6064053551665798,,0,1.6064053551665798,,0,1.6064053551665798,,0,1.606405425972756,,0,1.5961774142582517,,0,1.5961774142582517,,0,1.5961774141768466,,0,1.62,,0,1.62,,0,1.6080875929653644
1e-7,1.6206283183653514,,1e-7,1.61839042538467,,1e-7,1.61839042538467,,1e-7,1.61839042538467,,1e-7,1.6059427026884414,,1e-7,1.6059427026884414,,1e-7,1.6059427026884414,,1e-7,1.6059427575483578,,1e-7,1.5947202603694322,,1e-7,1.5947202603694322,,1e-7,1.595748461015587,,1e-7,1.62,,1e-7,1.62,,1e-7,1.6073591489158703
2e-7,1.6212566357385019,,2e-7,1.6184051219055953,,2e-7,1.6184051219055953,,2e-7,1.6184051219055953,,2e-7,1.6053437804915427,,2e-7,1.6053437804915427,,2e-7,1.6053437804915427,,2e-7,1.6053438405620113,,2e-7,1.5936961863271164,,2e-7,1.5936961863271164,,2e-7,1.5951443177215558,,2e-7,1.62,,2e-7,1.62,,2e-7,1.6068470684815568
4e-7,1.6225132635394095,,4e-7,1.6184117918385004,,4e-7,1.6184117918385004,,4e-7,1.6184117918385004,,4e-7,1.6041004981419005,,4e-7,1.6041004981419005,,4e-7,1.6041004981419005,,4e-7,1.604100551181932,,4e-7,1.5909751175748257,,4e-7,1.5909751175748257,,4e-7,1.5934907022656268,,4e-7,1.62,,4e-7,1.62,,4e-7,1.6054865927122117
8e-7,1.6250264635783653,,8e-7,1.6184106897518857,,8e-7,1.6184106897518857,,8e-7,1.6184106897518857,,8e-7,1.6015851127404532,,8e-7,1.6015851127404532,,8e-7,1.6015851127404532,,8e-7,1.6015851780612926,,8e-7,1.5863538859007995,,8e-7,1.5863538859007995,,8e-7,1.58910025367889,,8e-7,1.62,,8e-7,1.62,,8e-7,1.603175874570816
0.0000016,1.6300524191627288,,0.0000016,1.6184186628441861,,0.0000016,1.6184186628441861,,0.0000016,1.6184186628441861,,0.0000016,1.5965751713657987,,0.0000016,1.5965751713657987,,0.0000016,1.5965751713657987,,0.0000016,1.596575220297408,,0.0000016,1.575787289189393,,0.0000016,1.575787289189393,,0.0000016,1.5790584638216676,,0.0000016,1.62,,0.0000016,1.62,,0.0000016,1.5978927128699083
0.0000032,1.6401007746814766,,0.0000032,1.6184259300273123,,0.0000032,1.6184259300273123,,0.0000032,1.6184259300273123,,0.0000032,1.586541607952731,,0.0000032,1.586541607952731,,0.0000032,1.586541607952731,,0.0000032,1.5865416737956468,,0.0000032,1.5562839873038967,,0.0000032,1.5562839873038967,,0.0000032,1.5590175664011912,,0.0000032,1.62,,0.0000032,1.62,,0.0000032,1.5881409211473045
0.0000064,1.6601690500666972,,0.0000064,1.6184483092503872,,0.0000064,1.6184483092503872,,0.0000064,1.6184483092503872,,0.0000064,1.5665190926075618,,0.0000064,1.5665190926075618,,0.0000064,1.5665190926075618,,0.0000064,1.5665191366940372,,0.0000064,1.5155129347469802,,0.0000064,1.5155129347469802,,0.0000064,1.5188038698998279,,0.0000064,1.62,,0.0000064,1.62,,0.0000064,1.567755576476461
0.000012479999999999999,1.698093113473714,,0.000012479999999999999,1.6184841258766103,,0.000012479999999999999,1.6184841258766103,,0.000012479999999999999,1.6184841258766103,,0.000012479999999999999,1.528670342532854,,0.000012479999999999999,1.528670342532854,,0.000012479999999999999,1.528670342532854,,0.000012479999999999999,1.528670392349604,,0.000012479999999999999,1.4400057926082872,,0.000012479999999999999,1.4400057926082872,,0.000012479999999999999,1.442980058059616,,0.000012479999999999999,1.62,,0.000012479999999999999,1.62,,0.000012479999999999999,1.5300019582216022
0.000024639999999999998,1.7723556843138335,,0.000024639999999999998,1.618554991359536,,0.000024639999999999998,1.618554991359536,,0.000024639999999999998,1.618554991359536,,0.000024639999999999998,1.454563730706855,,0.000024639999999999998,1.454563730706855,,0.000024639999999999998,1.454563730706855,,0.000024639999999999998,1.454563771688752,,0.000024639999999999998,1.2914964245828255,,0.000024639999999999998,1.2914964245828255,,0.000024639999999999998,1.2943839706767,,0.000024639999999999998,1.62,,0.000024639999999999998,1.62,,0.000024639999999999998,1.4557473489456776
