X--Trace 1::[transient: TIME],Y--Trace 1::[PR1: V(1)],,X--Trace 2::[transient: TIME],Y--Trace 2::[PR2: V(2)],,X--Trace 3::[transient: TIME],Y--Trace 3::[PR3: V(2)],,X--Trace 4::[transient: TIME],Y--Trace 4::[PR4: V(2)],,X--Trace 5::[transient: TIME],Y--Trace 5::[PR5: V(3)],,X--Trace 6::[transient: TIME],Y--Trace 6::[PR6: V(3)],,X--Trace 7::[transient: TIME],Y--Trace 7::[PR7: V(3)],,X--Trace 8::[transient: TIME],Y--Trace 8::[PR8: V(5)],,X--Trace 9::[transient: TIME],Y--Trace 9::[PR9: V(7)],,X--Trace 10::[transient: TIME],Y--Trace 10::[PR14: V(7)],,X--Trace 11::[transient: TIME],Y--Trace 11::[PR10: V(8)],,X--Trace 12::[transient: TIME],Y--Trace 12::[PR11: V(4)],,X--Trace 13::[transient: TIME],Y--Trace 13::[PR12: V(4)],,X--Trace 14::[transient: TIME],Y--Trace 14::[PR13: V(6)]
0,1.62,,0,1.6183075931279642,,0,1.6183075931279642,,0,1.6183075931279642,,0,1.6064053551669177,,0,1.6064053551669177,,0,1.6064053551669177,,0,1.6064053868362456,,0,1.589012565132916,,0,1.589012565132916,,0,1.5890125650518765,,0,1.62,,0,1.62,,0,1.6080803889510225
1e-7,1.6206283183653514,,1e-7,1.6183904253664847,,1e-7,1.6183904253664847,,1e-7,1.6183904253664847,,1e-7,1.6059427026524247,,1e-7,1.6059427026524247,,1e-7,1.6059427026524247,,1e-7,1.6059427230507186,,1e-7,1.5867236005127645,,1e-7,1.5867236005127645,,1e-7,1.5883387456170461,,1e-7,1.62,,1e-7,1.62,,1e-7,1.6072002748464853
2e-7,1.6212566357385019,,2e-7,1.6184051219235487,,2e-7,1.6184051219235487,,2e-7,1.6184051219235487,,2e-7,1.6053437805278046,,2e-7,1.6053437805278046,,2e-7,1.6053437805278046,,2e-7,1.605343808416127,,2e-7,1.5858881127359499,,2e-7,1.5858881127359499,,2e-7,1.5876173346773745,,2e-7,1.62,,2e-7,1.62,,2e-7,1.6068787626886036
4e-7,1.6225132635394095,,4e-7,1.6184117917796244,,4e-7,1.6184117917796244,,4e-7,1.6184117917796244,,4e-7,1.6041004980245046,,4e-7,1.6041004980245046,,4e-7,1.6041004980245046,,4e-7,1.6041005113015092,,4e-7,1.5812476261952189,,4e-7,1.5812476261952189,,4e-7,1.585233192615144,,4e-7,1.62,,4e-7,1.62,,4e-7,1.6050942932240388
8e-7,1.6250264635783653,,8e-7,1.6184106898516695,,8e-7,1.6184106898516695,,8e-7,1.6184106898516695,,8e-7,1.6015851129403862,,8e-7,1.6015851129403862,,8e-7,1.6015851129403862,,8e-7,1.601585155019851,,8e-7,1.5774829114067275,,8e-7,1.5774829114067275,,8e-7,1.5798950767225974,,8e-7,1.62,,8e-7,1.62,,8e-7,1.6036456695646806
0.0000016,1.6300524191627288,,0.0000016,1.6184186627147914,,0.0000016,1.6184186627147914,,0.0000016,1.6184186627147914,,0.0000016,1.5965751711073926,,0.0000016,1.5965751711073926,,0.0000016,1.5965751711073926,,0.0000016,1.5965751723104749,,0.0000016,1.5605181592464465,,0.0000016,1.5605181592464465,,0.0000016,1.566270513363226,,0.0000016,1.62,,0.0000016,1.62,,0.0000016,1.5971216966542243
0.0000032,1.6401007746814766,,0.0000032,1.6184259301740547,,0.0000032,1.6184259301740547,,0.0000032,1.6184259301740547,,0.0000032,1.5865416082465864,,0.0000032,1.5865416082465864,,0.0000032,1.5865416082465864,,0.0000032,1.5865416570887492,,0.0000032,1.5390210484505842,,0.0000032,1.5390210484505842,,0.0000032,1.5408771736014601,,0.0000032,1.62,,0.0000032,1.62,,0.0000032,1.588852491489864
0.0000064,1.6601690500666972,,0.0000064,1.618448309093691,,0.0000064,1.618448309093691,,0.0000064,1.618448309093691,,0.0000064,1.566519092294495,,0.0000064,1.566519092294495,,0.0000064,1.566519092294495,,0.0000064,1.566519086902973,,0.0000064,1.4817361275791727,,0.0000064,1.4817361275791727,,0.0000064,1.4878275056533148,,0.0000064,1.62,,0.0000064,1.62,,0.0000064,1.5668210661060042
0.000012479999999999999,1.698093113473714,,0.000012479999999999999,1.6184841258818488,,0.000012479999999999999,1.6184841258818488,,0.000012479999999999999,1.6184841258818488,,0.000012479999999999999,1.5286703425436552,,0.000012479999999999999,1.5286703425436552,,0.000012479999999999999,1.5286703425436552,,0.000012479999999999999,1.528670362663187,,0.000012479999999999999,1.385786590429264,,0.000012479999999999999,1.385786590429264,,0.000012479999999999999,1.389593282096999,,0.000012479999999999999,1.62,,0.000012479999999999999,1.62,,0.000012479999999999999,1.5299168172099966
0.000020345979508368474,1.7464493194951027,,0.000020345979508368474,1.618530380996396,,0.000020345979508368474,1.618530380996396,,0.000020345979508368474,1.618530380996396,,0.000020345979508368474,1.480414826461195,,0.000020345979508368474,1.480414826461195,,0.000020345979508368474,1.480414826461195,,0.000020345979508368474,1.4804148420771428,,0.000020345979508368474,1.259887034585177,,0.000020345979508368474,1.259887034585177,,0.000020345979508368474,1.2637169984325212,,0.000020345979508368474,1.62,,0.000020345979508368474,1.62,,0.000020345979508368474,1.481494014654897
