X--Trace 1::[transient: TIME],Y--Trace 1::[PR1: V(1)],,X--Trace 2::[transient: TIME],Y--Trace 2::[PR2: V(2)],,X--Trace 3::[transient: TIME],Y--Trace 3::[PR3: V(2)],,X--Trace 4::[transient: TIME],Y--Trace 4::[PR4: V(2)],,X--Trace 5::[transient: TIME],Y--Trace 5::[PR5: V(3)],,X--Trace 6::[transient: TIME],Y--Trace 6::[PR6: V(3)],,X--Trace 7::[transient: TIME],Y--Trace 7::[PR7: V(3)],,X--Trace 8::[transient: TIME],Y--Trace 8::[PR8: V(5)],,X--Trace 9::[transient: TIME],Y--Trace 9::[PR9: V(7)],,X--Trace 10::[transient: TIME],Y--Trace 10::[PR14: V(7)],,X--Trace 11::[transient: TIME],Y--Trace 11::[PR10: V(8)],,X--Trace 12::[transient: TIME],Y--Trace 12::[PR11: V(4)],,X--Trace 13::[transient: TIME],Y--Trace 13::[PR12: V(4)],,X--Trace 14::[transient: TIME],Y--Trace 14::[PR13: V(6)]
0,1.62,,0,1.6182957027567673,,0,1.6182957027567673,,0,1.6182957027567673,,0,1.6182956907356245,,0,1.6182956907356245,,0,1.6182956907356245,,0,1.6182957232388815,,0,1.6200057134391097,,0,1.6200057134391097,,0,1.6200057133564894,,0,1.62,,0,1.62,,0,1.6200017305163528
1e-7,1.6206283183653514,,1e-7,1.6183437640568057,,1e-7,1.6183437640568057,,1e-7,1.6183437640568057,,1e-7,1.6180536237433156,,1e-7,1.6180536237433156,,1e-7,1.6180536237433156,,1e-7,1.6180536524921438,,1e-7,1.6192433222503477,,1e-7,1.6192433222503477,,1e-7,1.619781282626801,,1e-7,1.62,,1e-7,1.62,,1e-7,1.6196206044534158
1.1156442371421298e-7,1.6207009797182568,,1.1156442371421298e-7,1.6183452503555669,,1.1156442371421298e-7,1.6183452503555669,,1.1156442371421298e-7,1.6183452503555669,,1.1156442371421298e-7,1.6180213866286897,,1.1156442371421298e-7,1.6180213866286897,,1.1156442371421298e-7,1.6180213866286897,,1.1156442371421298e-7,1.6180214149092123,,1.1156442371421298e-7,1.619144139774111,,1.1156442371421298e-7,1.619144139774111,,1.1156442371421298e-7,1.619751958177437,,1.1156442371421298e-7,1.62,,1.1156442371421298e-7,1.62,,1.1156442371421298e-7,1.619571021888286
1.3469327114263895e-7,1.620846302378122,,1.3469327114263895e-7,1.61834359465623,,1.3469327114263895e-7,1.61834359465623,,1.3469327114263895e-7,1.61834359465623,,1.3469327114263895e-7,1.6179551269299743,,1.3469327114263895e-7,1.6179551269299743,,1.3469327114263895e-7,1.6179551269299743,,1.3469327114263895e-7,1.617955153913224,,1.3469327114263895e-7,1.6189154741009446,,1.3469327114263895e-7,1.6189154741009446,,1.3469327114263895e-7,1.6196854842711366,,1.3469327114263895e-7,1.62,,1.3469327114263895e-7,1.62,,1.3469327114263895e-7,1.6194567130767534
1.8095096599949088e-7,1.6211369474711026,,1.8095096599949088e-7,1.6183292163203165,,1.8095096599949088e-7,1.6183292163203165,,1.8095096599949088e-7,1.6183292163203165,,1.8095096599949088e-7,1.6178389588116486,,1.8095096599949088e-7,1.6178389588116486,,1.8095096599949088e-7,1.6178389588116486,,1.8095096599949088e-7,1.6178389756242537,,1.8095096599949088e-7,1.6179293574030997,,1.8095096599949088e-7,1.6179293574030997,,1.8095096599949088e-7,1.6194631850732637,,1.8095096599949088e-7,1.62,,1.8095096599949088e-7,1.62,,1.8095096599949088e-7,1.618963843078614
2.734663557131948e-7,1.6217182364063327,,2.734663557131948e-7,1.6183061079133174,,2.734663557131948e-7,1.6183061079133174,,2.734663557131948e-7,1.6183061079133174,,2.734663557131948e-7,1.6177127142135044,,2.734663557131948e-7,1.6177127142135044,,2.734663557131948e-7,1.6177127142135044,,2.734663557131948e-7,1.617712881371511,,2.734663557131948e-7,1.6288194312401543,,2.734663557131948e-7,1.6288194312401543,,2.734663557131948e-7,1.6207285716906832,,2.734663557131948e-7,1.62,,2.734663557131948e-7,1.62,,2.734663557131948e-7,1.6244060957692472
4.1608379510347424e-7,1.6226143196757996,,4.1608379510347424e-7,1.618296247380182,,4.1608379510347424e-7,1.618296247380182,,4.1608379510347424e-7,1.618296247380182,,4.1608379510347424e-7,1.617668017176602,,4.1608379510347424e-7,1.617668017176602,,4.1608379510347424e-7,1.617668017176602,,4.1608379510347424e-7,1.6176676179373983,,4.1608379510347424e-7,1.586752576491909,,4.1608379510347424e-7,1.586752576491909,,4.1608379510347424e-7,1.614793574447316,,4.1608379510347424e-7,1.62,,4.1608379510347424e-7,1.62,,4.1608379510347424e-7,1.6033831574428004
5.750318796657094e-7,1.6236130004145477,,5.750318796657094e-7,1.6182965198186972,,5.750318796657094e-7,1.6182965198186972,,5.750318796657094e-7,1.6182965198186972,,5.750318796657094e-7,1.6176683634299385,,5.750318796657094e-7,1.6176683634299385,,5.750318796657094e-7,1.6176683634299385,,5.750318796657094e-7,1.6176695936775114,,5.750318796657094e-7,1.7075196047669194,,5.750318796657094e-7,1.7075196047669194,,5.750318796657094e-7,1.630900087831585,,5.750318796657094e-7,1.62,,5.750318796657094e-7,1.62,,5.750318796657094e-7,1.6637364952957159
7.572653757093667e-7,1.6247579668713417,,7.572653757093667e-7,1.6182963003594721,,7.572653757093667e-7,1.6182963003594721,,7.572653757093667e-7,1.6182963003594721,,7.572653757093667e-7,1.6176678842018404,,7.572653757093667e-7,1.6176678842018404,,7.572653757093667e-7,1.6176678842018404,,7.572653757093667e-7,1.617665054630301,,7.572653757093667e-7,1.4066328182708736,,7.572653757093667e-7,1.4066328182708736,,7.572653757093667e-7,1.590233515877868,,7.572653757093667e-7,1.62,,7.572653757093667e-7,1.62,,7.572653757093667e-7,1.5133682853868042
9.335522218844417e-7,1.625865547060998,,9.335522218844417e-7,1.6182964940493716,,9.335522218844417e-7,1.6182964940493716,,9.335522218844417e-7,1.6182964940493716,,9.335522218844417e-7,1.6176682943999376,,9.335522218844417e-7,1.6176682943999376,,9.335522218844417e-7,1.6176682943999376,,9.335522218844417e-7,1.6176753988478754,,9.335522218844417e-7,2.1428747354906066,,9.335522218844417e-7,2.1428747354906066,,9.335522218844417e-7,1.6894531206102448,,9.335522218844417e-7,1.62,,9.335522218844417e-7,1.62,,9.335522218844417e-7,1.8813052769936078
