X--Trace 1::[transient: TIME],Y--Trace 1::[PR1: V(1)],,X--Trace 2::[transient: TIME],Y--Trace 2::[PR2: V(2)],,X--Trace 3::[transient: TIME],Y--Trace 3::[PR3: V(2)],,X--Trace 4::[transient: TIME],Y--Trace 4::[PR4: V(2)],,X--Trace 5::[transient: TIME],Y--Trace 5::[PR5: V(3)],,X--Trace 6::[transient: TIME],Y--Trace 6::[PR6: V(3)],,X--Trace 7::[transient: TIME],Y--Trace 7::[PR7: V(3)],,X--Trace 8::[transient: TIME],Y--Trace 8::[PR8: V(5)],,X--Trace 9::[transient: TIME],Y--Trace 9::[PR9: V(7)],,X--Trace 10::[transient: TIME],Y--Trace 10::[PR14: V(7)],,X--Trace 11::[transient: TIME],Y--Trace 11::[PR10: V(8)],,X--Trace 12::[transient: TIME],Y--Trace 12::[PR11: V(4)],,X--Trace 13::[transient: TIME],Y--Trace 13::[PR12: V(4)],,X--Trace 14::[transient: TIME],Y--Trace 14::[PR13: V(6)]
0,1.62,,0,1.6183075931279718,,0,1.6183075931279718,,0,1.6183075931279718,,0,1.6064053551665793,,0,1.6064053551665793,,0,1.6064053551665793,,0,1.6064053870293569,,0,1.596177336215334,,0,1.596177336215334,,0,1.5961773361339289,,0,1.62,,0,1.62,,0,1.6080875539438828
1e-7,1.6206283183653514,,1e-7,1.6183519318822361,,1e-7,1.6183519318822361,,1e-7,1.6183519318822361,,1e-7,1.6061577048506828,,1e-7,1.6061577048506828,,1e-7,1.6061577048506828,,1e-7,1.606157732872435,,1e-7,1.5953973603216296,,1e-7,1.5953973603216296,,1e-7,1.595947728864664,,1e-7,1.62,,1e-7,1.62,,1e-7,1.607697637132138
2e-7,1.6212566357385019,,2e-7,1.6183572249666427,,2e-7,1.6183572249666427,,2e-7,1.6183572249666427,,2e-7,1.6058514868905405,,2e-7,1.6058514868905405,,2e-7,1.6058514868905405,,2e-7,1.6058515163902158,,2e-7,1.594894451742874,,2e-7,1.594894451742874,,2e-7,1.5956376678687358,,2e-7,1.62,,2e-7,1.62,,2e-7,1.60744615547786
4e-7,1.6225132635394095,,4e-7,1.6183593224735897,,4e-7,1.6183593224735897,,4e-7,1.6183593224735897,,4e-7,1.6052263220983907,,4e-7,1.6052263220983907,,4e-7,1.6052263220983907,,4e-7,1.605226349807619,,4e-7,1.5935114140287439,,4e-7,1.5935114140287439,,4e-7,1.5947929607363933,,4e-7,1.62,,4e-7,1.62,,4e-7,1.6067546697872659
8e-7,1.6250264635783653,,8e-7,1.6183594913237398,,8e-7,1.6183594913237398,,8e-7,1.6183594913237398,,8e-7,1.6039699848627689,,8e-7,1.6039699848627689,,8e-7,1.6039699848627689,,8e-7,1.603970015730007,,8e-7,1.591232764305758,,8e-7,1.591232764305758,,8e-7,1.592590666762847,,8e-7,1.62,,8e-7,1.62,,8e-7,1.605615286461788
0.0000016,1.6300524191627288,,0.0000016,1.6183629290889265,,0.0000016,1.6183629290889265,,0.0000016,1.6183629290889265,,0.0000016,1.6014621979508241,,0.0000016,1.6014621979508241,,0.0000016,1.6014621979508241,,0.0000016,1.601462224593738,,0.0000016,1.5859040624382188,,0.0000016,1.5859040624382188,,0.0000016,1.5875604920285005,,0.0000016,1.62,,0.0000016,1.62,,0.0000016,1.6029510137954253
0.0000032,1.6401007746814766,,0.0000032,1.6183670459143094,,0.0000032,1.6183670459143094,,0.0000032,1.6183670459143094,,0.0000032,1.596444324764544,,0.0000032,1.596444324764544,,0.0000032,1.596444324764544,,0.0000032,1.5964443558336558,,0.0000032,1.5761962548569604,,0.0000032,1.5761962548569604,,0.0000032,1.5775417043603337,,0.0000032,1.62,,0.0000032,1.62,,0.0000032,1.5980970281118092
0.0000064,1.6601690500666972,,0.0000064,1.6183777906675505,,0.0000064,1.6183777906675505,,0.0000064,1.6183777906675505,,0.0000064,1.5864268060537627,,0.0000064,1.5864268060537627,,0.0000064,1.5864268060537627,,0.0000064,1.5864268315589503,,0.0000064,1.5557486570531731,,0.0000064,1.5557486570531731,,0.0000064,1.557417991171952,,0.0000064,1.62,,0.0000064,1.62,,0.0000064,1.587873332397862
0.000012479999999999999,1.698093113473714,,0.000012479999999999999,1.6183959221337854,,0.000012479999999999999,1.6183959221337854,,0.000012479999999999999,1.6183959221337854,,0.000012479999999999999,1.5674938140258665,,0.000012479999999999999,1.5674938140258665,,0.000012479999999999999,1.5674938140258665,,0.000012479999999999999,1.567493841171482,,0.000012479999999999999,1.5180038710083932,,0.000012479999999999999,1.5180038710083932,,0.000012479999999999999,1.5194911505700706,,0.000012479999999999999,1.62,,0.000012479999999999999,1.62,,0.000012479999999999999,1.5690009092805532
0.000024639999999999998,1.7723556843138335,,0.000024639999999999998,1.6184313785604292,,0.000024639999999999998,1.6184313785604292,,0.000024639999999999998,1.6184313785604292,,0.000024639999999999998,1.5304228337932124,,0.000024639999999999998,1.5304228337932124,,0.000024639999999999998,1.5304228337932124,,0.000024639999999999998,1.5304228589371187,,0.000024639999999999998,1.4437128151090812,,0.000024639999999999998,1.4437128151090812,,0.000024639999999999998,1.4451575089747866,,0.000024639999999999998,1.62,,0.000024639999999999998,1.62,,0.000024639999999999998,1.5318554189563414
