X--Trace 1::[transient: TIME],Y--Trace 1::[PR1: V(1)],,X--Trace 2::[transient: TIME],Y--Trace 2::[PR2: V(2)],,X--Trace 3::[transient: TIME],Y--Trace 3::[PR3: V(2)],,X--Trace 4::[transient: TIME],Y--Trace 4::[PR4: V(2)],,X--Trace 5::[transient: TIME],Y--Trace 5::[PR5: V(3)],,X--Trace 6::[transient: TIME],Y--Trace 6::[PR6: V(3)],,X--Trace 7::[transient: TIME],Y--Trace 7::[PR7: V(3)],,X--Trace 8::[transient: TIME],Y--Trace 8::[PR8: V(5)],,X--Trace 9::[transient: TIME],Y--Trace 9::[PR9: V(7)],,X--Trace 10::[transient: TIME],Y--Trace 10::[PR14: V(7)],,X--Trace 11::[transient: TIME],Y--Trace 11::[PR10: V(8)],,X--Trace 12::[transient: TIME],Y--Trace 12::[PR11: V(4)],,X--Trace 13::[transient: TIME],Y--Trace 13::[PR12: V(4)],,X--Trace 14::[transient: TIME],Y--Trace 14::[PR13: V(6)]
0,1.62,,0,1.6183075931279718,,0,1.6183075931279718,,0,1.6183075931279718,,0,1.6064053551665793,,0,1.6064053551665793,,0,1.6064053551665793,,0,1.6064053870293569,,0,1.596177336215334,,0,1.596177336215334,,0,1.5961773361339289,,0,1.62,,0,1.62,,0,1.6080875539438828
1e-7,1.6206283183653514,,1e-7,1.6183430576081814,,1e-7,1.6183430576081814,,1e-7,1.6183430576081814,,1e-7,1.6062432018691657,,1e-7,1.6062432018691657,,1e-7,1.6062432018691657,,1e-7,1.6062432312169659,,1e-7,1.595666633603961,,1e-7,1.595666633603961,,1e-7,1.5960269968312013,,1e-7,1.62,,1e-7,1.62,,1e-7,1.6078322492150892
2e-7,1.6212566357385019,,2e-7,1.6183421366255022,,2e-7,1.6183421366255022,,2e-7,1.6183421366255022,,2e-7,1.6060325350188118,,2e-7,1.6060325350188118,,2e-7,1.6060325350188118,,2e-7,1.6060325651766436,,2e-7,1.5953053296541257,,2e-7,1.5953053296541257,,2e-7,1.595814554305896,,2e-7,1.62,,2e-7,1.62,,2e-7,1.6076515822424438
4e-7,1.6225132635394095,,4e-7,1.6183411930565361,,4e-7,1.6183411930565361,,4e-7,1.6183411930565361,,4e-7,1.6056124016316755,,4e-7,1.6056124016316755,,4e-7,1.6056124016316755,,4e-7,1.6056124309609667,,4e-7,1.5944036487387168,,4e-7,1.5944036487387168,,4e-7,1.5952493113321853,,4e-7,1.62,,4e-7,1.62,,4e-7,1.6072007571346936
8e-7,1.6250264635783653,,8e-7,1.6183430045932248,,8e-7,1.6183430045932248,,8e-7,1.6183430045932248,,8e-7,1.6047770857878472,,8e-7,1.6047770857878472,,8e-7,1.6047770857878472,,8e-7,1.6047771166583793,,8e-7,1.5928472264327442,,8e-7,1.5928472264327442,,8e-7,1.5937720551777388,,8e-7,1.62,,8e-7,1.62,,8e-7,1.6064225174521796
0.0000016,1.6300524191627288,,0.0000016,1.6183438574519189,,0.0000016,1.6183438574519189,,0.0000016,1.6183438574519189,,0.0000016,1.6031029120301967,,0.0000016,1.6031029120301967,,0.0000016,1.6031029120301967,,0.0000016,1.6031029408023172,,0.0000016,1.589343325588501,,0.0000016,1.589343325588501,,0.0000016,1.5904245119564626,,0.0000016,1.62,,0.0000016,1.62,,0.0000016,1.6046706059154159
0.0000032,1.6401007746814766,,0.0000032,1.618347925460096,,0.0000032,1.618347925460096,,0.0000032,1.618347925460096,,0.0000032,1.5997589129787173,,0.0000032,1.5997589129787173,,0.0000032,1.5997589129787173,,0.0000032,1.599758943886066,,0.0000032,1.5828135089129884,,0.0000032,1.5828135089129884,,0.0000032,1.583736282987862,,0.0000032,1.62,,0.0000032,1.62,,0.0000032,1.6014056580857785
0.0000064,1.6601690500666972,,0.0000064,1.6183538228470464,,0.0000064,1.6183538228470464,,0.0000064,1.6183538228470464,,0.0000064,1.5930774626409823,,0.0000064,1.5930774626409823,,0.0000064,1.5930774626409823,,0.0000064,1.5930774907093668,,0.0000064,1.569240069946042,,0.0000064,1.569240069946042,,0.0000064,1.5703262815506274,,0.0000064,1.62,,0.0000064,1.62,,0.0000064,1.5946189912769708
0.000012479999999999999,1.698093113473714,,0.000012479999999999999,1.618366528694274,,0.000012479999999999999,1.618366528694274,,0.000012479999999999999,1.618366528694274,,0.000012479999999999999,1.580453458944763,,0.000012479999999999999,1.580453458944763,,0.000012479999999999999,1.580453458944763,,0.000012479999999999999,1.5804534876510594,,0.000012479999999999999,1.5440390873441991,,0.000012479999999999999,1.5440390873441991,,0.000012479999999999999,1.5450315553870613,,0.000012479999999999999,1.62,,0.000012479999999999999,1.62,,0.000012479999999999999,1.5820184883519963
0.000024639999999999998,1.7723556843138335,,0.000024639999999999998,1.618390186837805,,0.000024639999999999998,1.618390186837805,,0.000024639999999999998,1.618390186837805,,0.000024639999999999998,1.5557323958156644,,0.000024639999999999998,1.5557323958156644,,0.000024639999999999998,1.5557323958156644,,0.000024639999999999998,1.5557324232021847,,0.000024639999999999998,1.494498653215858,,0.000024639999999999998,1.494498653215858,,0.000024639999999999998,1.495461798303015,,0.000024639999999999998,1.62,,0.000024639999999999998,1.62,,0.000024639999999999998,1.5572482960993856
0.000040264999999999995,1.8623345880280056,,0.000040264999999999995,1.6184176454189425,,0.000040264999999999995,1.6184176454189425,,0.000040264999999999995,1.6184176454189425,,0.000040264999999999995,1.5257795046330374,,0.000040264999999999995,1.5257795046330374,,0.000040264999999999995,1.5257795046330374,,0.000040264999999999995,1.5257795305597253,,0.000040264999999999995,1.4344840781377897,,0.000040264999999999995,1.4344840781377897,,0.000040264999999999995,1.4353717449105412,,0.000040264999999999995,1.62,,0.000040264999999999995,1.62,,0.000040264999999999995,1.5272410360442328
0.000055889999999999995,1.9430007094270643,,0.000055889999999999995,1.6184404392945824,,0.000055889999999999995,1.6184404392945824,,0.000055889999999999995,1.6184404392945824,,0.000055889999999999995,1.498926157483947,,0.000055889999999999995,1.498926157483947,,0.000055889999999999995,1.498926157483947,,0.000055889999999999995,1.4989261821764048,,0.000055889999999999995,1.3806853733355056,,0.000055889999999999995,1.3806853733355056,,0.000055889999999999995,1.3814520489623017,,0.000055889999999999995,1.62,,0.000055889999999999995,1.62,,0.000055889999999999995,1.5003417069023626
0.000071515,2.0112540947037254,,0.000071515,1.6184587826395307,,0.000071515,1.6184587826395307,,0.000071515,1.6184587826395307,,0.000071515,1.4762057577685945,,0.000071515,1.4762057577685945,,0.000071515,1.4762057577685945,,0.000071515,1.4762057814832896,,0.000071515,1.335171653767946,,0.000071515,1.335171653767946,,0.000071515,1.3358054875414596,,0.000071515,1.62,,0.000071515,1.62,,0.000071515,1.4775848655665018
