X--Trace 1::[transient: TIME],Y--Trace 1::[PR10: V(8)],,X--Trace 2::[transient: TIME],Y--Trace 2::[PR8: V(5)],,X--Trace 3::[transient: TIME],Y--Trace 3::[PR1: V(1)],,X--Trace 4::[transient: TIME],Y--Trace 4::[PR2: V(2)],,X--Trace 5::[transient: TIME],Y--Trace 5::[PR3: V(2)],,X--Trace 6::[transient: TIME],Y--Trace 6::[PR4: V(2)],,X--Trace 7::[transient: TIME],Y--Trace 7::[PR5: V(3)],,X--Trace 8::[transient: TIME],Y--Trace 8::[PR6: V(3)],,X--Trace 9::[transient: TIME],Y--Trace 9::[PR7: V(3)],,X--Trace 10::[transient: TIME],Y--Trace 10::[PR9: V(7)],,X--Trace 11::[transient: TIME],Y--Trace 11::[PR14: V(7)],,X--Trace 12::[transient: TIME],Y--Trace 12::[PR11: V(4)],,X--Trace 13::[transient: TIME],Y--Trace 13::[PR12: V(4)],,X--Trace 14::[transient: TIME],Y--Trace 14::[PR13: V(6)]
0,1.5878175975199469,,0,1.6064053868041506,,0,1.62,,0,1.6183075931279627,,0,1.6183075931279627,,0,1.6183075931279627,,0,1.606405355167087,,0,1.606405355167087,,0,1.606405355167087,,0,1.5878175976009257,,0,1.5878175976009257,,0,1.62,,0,1.62,,0,1.6080791939466146
1.5625e-7,1.5865735443142148,,1.5625e-7,1.6056008892742537,,1.5625e-7,1.6209817470734227,,1.5625e-7,1.6183962214083036,,1.5625e-7,1.6183962214083036,,1.5625e-7,1.6183962214083036,,1.5625e-7,1.6056008674346736,,1.5625e-7,1.6056008674346736,,1.5625e-7,1.6056008674346736,,1.5625e-7,1.5846650672532807,,1.5625e-7,1.5846650672532807,,1.5625e-7,1.62,,1.5625e-7,1.62,,1.5625e-7,1.6069118186073608
3.125e-7,1.5849170320329753,,3.125e-7,1.6046419161645322,,3.125e-7,1.6219634903619031,,3.125e-7,1.6184076027614744,,3.125e-7,1.6184076027614744,,3.125e-7,1.6184076027614744,,3.125e-7,1.6046418913268816,,3.125e-7,1.6046418913268816,,3.125e-7,1.6046418913268816,,3.125e-7,1.5823758097534018,,3.125e-7,1.5823758097534018,,3.125e-7,1.62,,3.125e-7,1.62,,3.125e-7,1.606063875562116
6.25e-7,1.5807134052097709,,6.25e-7,1.6026879350874017,,6.25e-7,1.6239269504443559,,6.25e-7,1.6184123376920285,,6.25e-7,1.6184123376920285,,6.25e-7,1.6184123376920285,,6.25e-7,1.6026879131887022,,6.25e-7,1.6026879131887022,,6.25e-7,1.6026879131887022,,6.25e-7,1.5768059278138495,,6.25e-7,1.5768059278138495,,6.25e-7,1.62,,6.25e-7,1.62,,6.25e-7,1.6040010248987389
0.00000125,1.570559278335126,,0.00000125,1.5987647802452487,,0.00000125,1.6278536586559105,,0.00000125,1.6184140906763367,,0.00000125,1.6184140906763367,,0.00000125,1.6184140906763367,,0.00000125,1.5987647537011662,,0.00000125,1.5987647537011662,,0.00000125,1.5987647537011662,,0.00000125,1.5666781344138347,,0.00000125,1.5666781344138347,,0.00000125,1.62,,0.00000125,1.62,,0.00000125,1.6002498820495306
0.0000025,1.549183326968866,,0.0000025,1.5909326279711085,,0.0000025,1.6357053795390644,,0.0000025,1.6184237984177794,,0.0000025,1.6184237984177794,,0.0000025,1.6184237984177794,,0.0000025,1.5909326080702955,,0.0000025,1.5909326080702955,,0.0000025,1.5909326080702955,,0.0000025,1.5448663661812765,,0.0000025,1.5448663661812765,,0.0000025,1.62,,0.0000025,1.62,,0.0000025,1.5921716044403362
0.000005,1.5069328021480155,,0.000005,1.5752708176888242,,0.000005,1.6513952597646568,,0.000005,1.618437522329879,,0.000005,1.618437522329879,,0.000005,1.618437522329879,,0.000005,1.575270792104113,,0.000005,1.575270792104113,,0.000005,1.575270792104113,,0.000005,1.5031478024518208,,0.000005,1.5031478024518208,,0.000005,1.62,,0.000005,1.62,,0.000005,1.5767201522873944
0.00001,1.4222809067148532,,0.00001,1.5440666572506803,,0.00001,1.6826666167821522,,0.00001,1.6184699167466818,,0.00001,1.6184699167466818,,0.00001,1.6184699167466818,,0.00001,1.5440666411224386,,0.00001,1.5440666411224386,,0.00001,1.5440666411224386,,0.00001,1.4179494828263062,,0.00001,1.4179494828263062,,0.00001,1.62,,0.00001,1.62,,0.00001,1.5451654402078219
0.0000195,1.2638840789121724,,0.0000195,1.4855540704297452,,0.0000195,1.7412996153977038,,0.0000195,1.6185256768302823,,0.0000195,1.6185256768302823,,0.0000195,1.6185256768302823,,0.0000195,1.4855540546620125,,0.0000195,1.4855540546620125,,0.0000195,1.4855540546620125,,0.0000195,1.259927841953178,,0.0000195,1.259927841953178,,0.0000195,1.62,,0.0000195,1.62,,0.0000195,1.4866389160634885
0.000035125,1.0143293796445083,,0.000035125,1.3934519120106719,,0.000035125,1.8336000323534736,,0.000035125,1.6186115724408545,,0.000035125,1.6186115724408545,,0.000035125,1.6186115724408545,,0.000035125,1.3934519026080856,,0.000035125,1.3934519026080856,,0.000035125,1.3934519026080856,,0.000035125,1.0106126073582147,,0.000035125,1.0106126073582147,,0.000035125,1.62,,0.000035125,1.62,,0.000035125,1.3943000904629668
0.00005075,0.7868398961561447,,0.00005075,1.3095479059632058,,0.00005075,1.9176919198541775,,0.00005075,1.6186853830937638,,0.00005075,1.6186853830937638,,0.00005075,1.6186853830937638,,0.00005075,1.3095479018867757,,0.00005075,1.3095479018867757,,0.00005075,1.3095479018867757,,0.00005075,0.7835365703506726,,0.00005075,0.7835365703506726,,0.00005075,1.62,,0.00005075,1.62,,0.00005075,1.3101979803255193
0.000066375,0.5901377797429469,,0.000066375,1.2370656015546069,,0.000066375,1.9903436738224376,,0.000066375,1.6187437369356912,,0.000066375,1.6187437369356912,,0.000066375,1.6187437369356912,,0.000066375,1.2370656017396715,,0.000066375,1.2370656017396715,,0.000066375,1.2370656017396715,,0.000066375,0.5874059699637016,,0.000066375,0.5874059699637016,,0.000066375,1.62,,0.000066375,1.62,,0.000066375,1.2375571179667528
0.000082,0.4318860291092343,,0.000082,1.1787958446087605,,0.000082,2.0487633280968263,,0.000082,1.6187871628624244,,0.000082,1.6187871628624244,,0.000082,1.6187871628624244,,0.000082,1.1787958479281309,,0.000082,1.1787958479281309,,0.000082,1.1787958479281309,,0.000082,0.4297624220283594,,0.000082,0.4297624220283594,,0.000082,1.62,,0.000082,1.62,,0.000082,1.17917069292438
0.000097625,0.31803326485645667,,0.000097625,1.1369705348291888,,0.000097625,2.0907058481256984,,0.000097625,1.618810305960653,,0.000097625,1.618810305960653,,0.000097625,1.618810305960653,,0.000097625,1.1369705398401662,,0.000097625,1.1369705398401662,,0.000097625,1.1369705398401662,,0.000097625,0.3166636870038794,,0.000097625,0.3166636870038794,,0.000097625,1.62,,0.000097625,1.62,,0.000097625,1.1372823127833795
0.00011325,0.2530793935213728,,0.00011325,1.1132043240143323,,0.00011325,2.114559406385981,,0.00011325,1.6188159424669004,,0.00011325,1.6188159424669004,,0.00011325,1.6188159424669004,,0.00011325,1.1132043294069915,,0.00011325,1.1132043294069915,,0.00011325,1.1132043294069915,,0.00011325,0.25245608270432224,,0.00011325,0.25245608270432224,,0.00011325,1.62,,0.00011325,1.62,,0.00011325,1.1135017279481365
0.000128875,0.2394037122594361,,0.000128875,1.1084032415752807,,0.000128875,2.1194073240109605,,0.000128875,1.6188002105088803,,0.000128875,1.6188002105088803,,0.000128875,1.6188002105088803,,0.000128875,1.1084032458246489,,0.000128875,1.1084032458246489,,0.000128875,1.1084032458246489,,0.000128875,0.23960743131939705,,0.000128875,0.23960743131939705,,0.000128875,1.62,,0.000128875,1.62,,0.000128875,1.1087429416049657
0.0001445,0.2776412970778006,,0.0001445,1.1227590378929997,,0.0001445,2.105063298245053,,0.0001445,1.618767339709826,,0.0001445,1.618767339709826,,0.0001445,1.618767339709826,,0.0001445,1.1227590397209064,,0.0001445,1.1227590397209064,,0.0001445,1.1227590397209064,,0.0001445,0.2786107683265721,,0.0001445,0.2786107683265721,,0.0001445,1.62,,0.0001445,1.62,,0.0001445,1.1231885652381548
0.000160125,0.36622001646902186,,0.000160125,1.1557128156424945,,0.000160125,2.0720785619542195,,0.000160125,1.6187149883182534,,0.000160125,1.6187149883182534,,0.000160125,1.6187149883182534,,0.000160125,1.1557128136585773,,0.000160125,1.1557128136585773,,0.000160125,1.1557128136585773,,0.000160125,0.36796828208996096,,0.000160125,0.36796828208996096,,0.000160125,1.62,,0.000160125,1.62,,0.000160125,1.156283851191593
0.00017575000000000002,0.501832069974781,,0.00017575000000000002,1.2060053469871188,,0.00017575000000000002,2.021720700056064,,0.00017575000000000002,1.618648753166644,,0.00017575000000000002,1.618648753166644,,0.00017575000000000002,1.618648753166644,,0.00017575000000000002,1.2060053401550341,,0.00017575000000000002,1.2060053401550341,,0.00017575000000000002,1.2060053401550341,,0.00017575000000000002,0.5042445991789548,,0.00017575000000000002,0.5042445991789548,,0.00017575000000000002,1.62,,0.00017575000000000002,1.62,,0.00017575000000000002,1.2067564472149184
0.00019137500000000003,0.679175766044551,,0.00019137500000000003,1.2716967856435564,,0.00019137500000000003,1.9559249369423177,,0.00019137500000000003,1.618567614481932,,0.00019137500000000003,1.618567614481932,,0.00019137500000000003,1.618567614481932,,0.00019137500000000003,1.2716967729035449,,0.00019137500000000003,1.2716967729035449,,0.00019137500000000003,1.2716967729035449,,0.00019137500000000003,0.6822044252459427,,0.00019137500000000003,0.6822044252459427,,0.00019137500000000003,1.62,,0.00019137500000000003,1.62,,0.00019137500000000003,1.2726673548921874
0.00020700000000000004,0.8915203911138053,,0.00020700000000000004,1.3502697347091348,,0.00020700000000000004,1.877219766890753,,0.00020700000000000004,1.6184782358194405,,0.00020700000000000004,1.6184782358194405,,0.00020700000000000004,1.6184782358194405,,0.00020700000000000004,1.3502697154403178,,0.00020700000000000004,1.3502697154403178,,0.00020700000000000004,1.3502697154403178,,0.00020700000000000004,0.8950068048410438,,0.00020700000000000004,0.8950068048410438,,0.00020700000000000004,1.62,,0.00020700000000000004,1.62,,0.00020700000000000004,1.3514828973020834
