X--Trace 1::[transient: TIME],Y--Trace 1::[PR1: V(1)],,X--Trace 2::[transient: TIME],Y--Trace 2::[PR2: V(2)],,X--Trace 3::[transient: TIME],Y--Trace 3::[PR3: V(2)],,X--Trace 4::[transient: TIME],Y--Trace 4::[PR4: V(2)],,X--Trace 5::[transient: TIME],Y--Trace 5::[PR5: V(3)],,X--Trace 6::[transient: TIME],Y--Trace 6::[PR6: V(3)],,X--Trace 7::[transient: TIME],Y--Trace 7::[PR7: V(3)],,X--Trace 8::[transient: TIME],Y--Trace 8::[PR8: V(5)],,X--Trace 9::[transient: TIME],Y--Trace 9::[PR9: V(7)],,X--Trace 10::[transient: TIME],Y--Trace 10::[PR14: V(7)],,X--Trace 11::[transient: TIME],Y--Trace 11::[PR10: V(8)],,X--Trace 12::[transient: TIME],Y--Trace 12::[PR11: V(4)],,X--Trace 13::[transient: TIME],Y--Trace 13::[PR12: V(4)],,X--Trace 14::[transient: TIME],Y--Trace 14::[PR13: V(6)]
0,1.62,,0,1.6183075931279718,,0,1.6183075931279718,,0,1.6183075931279718,,0,1.6064053551665793,,0,1.6064053551665793,,0,1.6064053551665793,,0,1.6064053610670936,,0,1.5961772841866464,,0,1.5961772841866464,,0,1.5961772841052413,,0,1.62,,0,1.62,,0,1.6080875279295646
1e-7,1.6206283183653514,,1e-7,1.6183904253846713,,1e-7,1.6183904253846713,,1e-7,1.6183904253846713,,1e-7,1.6059427026884407,,1e-7,1.6059427026884407,,1e-7,1.6059427026884407,,1e-7,1.605942707260142,,1e-7,1.5947201763346364,,1e-7,1.5947201763346364,,1e-7,1.5957483444961778,,1e-7,1.62,,1e-7,1.62,,1e-7,1.6073591068943391
2e-7,1.6212566357385019,,2e-7,1.618405121905594,,2e-7,1.618405121905594,,2e-7,1.618405121905594,,2e-7,1.6053437804915334,,2e-7,1.6053437804915334,,2e-7,1.6053437804915334,,2e-7,1.6053437854973656,,2e-7,1.593696060009477,,2e-7,1.593696060009477,,2e-7,1.5951441983177692,,2e-7,1.62,,2e-7,1.62,,2e-7,1.6068470053267823
4e-7,1.6225132635394095,,4e-7,1.618411791838505,,4e-7,1.618411791838505,,4e-7,1.618411791838505,,4e-7,1.6041004981418958,,4e-7,1.6041004981418958,,4e-7,1.6041004981418958,,4e-7,1.6041005025620032,,4e-7,1.590975062136813,,4e-7,1.590975062136813,,4e-7,1.593490599656636,,4e-7,1.62,,4e-7,1.62,,4e-7,1.605486564982761
8e-7,1.6250264635783653,,8e-7,1.618410689751879,,8e-7,1.618410689751879,,8e-7,1.618410689751879,,8e-7,1.6015851127404215,,8e-7,1.6015851127404215,,8e-7,1.6015851127404215,,8e-7,1.601585118183658,,8e-7,1.5863536994008518,,8e-7,1.5863536994008518,,8e-7,1.5891001343676114,,8e-7,1.62,,8e-7,1.62,,8e-7,1.603175781337522
0.0000016,1.6300524191627288,,0.0000016,1.6184186628441941,,0.0000016,1.6184186628441941,,0.0000016,1.6184186628441941,,0.0000016,1.5965751713658098,,0.0000016,1.5965751713658098,,0.0000016,1.5965751713658098,,0.0000016,1.5965751754436515,,0.0000016,1.5757872825363972,,0.0000016,1.5757872825363972,,0.0000016,1.5790583729422247,,0.0000016,1.62,,0.0000016,1.62,,0.0000016,1.597892709522662
0.0000032,1.6401007746814766,,0.0000032,1.6184259300273036,,0.0000032,1.6184259300273036,,0.0000032,1.6184259300273036,,0.0000032,1.5865416079527008,,0.0000032,1.5865416079527008,,0.0000032,1.5865416079527008,,0.0000032,1.586541613439378,,0.0000032,1.5562837734549777,,0.0000032,1.5562837734549777,,0.0000032,1.559017445710819,,0.0000032,1.62,,0.0000032,1.62,,0.0000032,1.5881408142461146
0.0000064,1.6601690500666972,,0.0000064,1.618448309250397,,0.0000064,1.618448309250397,,0.0000064,1.618448309250397,,0.0000064,1.5665190926075514,,0.0000064,1.5665190926075514,,0.0000064,1.5665190926075514,,0.0000064,1.5665190962816697,,0.0000064,1.5155129520199073,,0.0000064,1.5155129520199073,,0.0000064,1.5188037881764633,,0.0000064,1.62,,0.0000064,1.62,,0.0000064,1.5677555850884304
0.000012479999999999999,1.698093113473714,,0.000012479999999999999,1.6184841258766098,,0.000012479999999999999,1.6184841258766098,,0.000012479999999999999,1.6184841258766098,,0.000012479999999999999,1.5286703425327957,,0.000012479999999999999,1.5286703425327957,,0.000012479999999999999,1.5286703425327957,,0.000012479999999999999,1.528670346684184,,0.000012479999999999999,1.440005698192503,,0.000012479999999999999,1.440005698192503,,0.000012479999999999999,1.4429799662165483,,0.000012479999999999999,1.62,,0.000012479999999999999,1.62,,0.000012479999999999999,1.5300019110144942
0.000024639999999999998,1.7723556843138335,,0.000024639999999999998,1.6185549913595367,,0.000024639999999999998,1.6185549913595367,,0.000024639999999999998,1.6185549913595367,,0.000024639999999999998,1.4545637307066852,,0.000024639999999999998,1.4545637307066852,,0.000024639999999999998,1.4545637307066852,,0.000024639999999999998,1.4545637341218465,,0.000024639999999999998,1.2914963505899955,,0.000024639999999999998,1.2914963505899955,,0.000024639999999999998,1.2943838951574,,0.000024639999999999998,1.62,,0.000024639999999999998,1.62,,0.000024639999999999998,1.4557473119489974
0.000040264999999999995,1.8623345880280056,,0.000040264999999999995,1.6186373247416481,,0.000040264999999999995,1.6186373247416481,,0.000040264999999999995,1.6186373247416481,,0.000040264999999999995,1.3647806469509525,,0.000040264999999999995,1.3647806469509525,,0.000040264999999999995,1.3647806469509525,,0.000040264999999999995,1.3647806495572854,,0.000040264999999999995,1.111604690087478,,0.000040264999999999995,1.111604690087478,,0.000040264999999999995,1.1142652008469272,,0.000040264999999999995,1.62,,0.000040264999999999995,1.62,,0.000040264999999999995,1.3658015639289818
0.000055889999999999995,1.9430007094270643,,0.000055889999999999995,1.618705647342835,,0.000055889999999999995,1.618705647342835,,0.000055889999999999995,1.618705647342835,,0.000055889999999999995,1.2842958379373726,,0.000055889999999999995,1.2842958379373726,,0.000055889999999999995,1.2842958379373726,,0.000055889999999999995,1.2842958398580648,,0.000055889999999999995,0.9503590652572609,,0.000055889999999999995,0.9503590652572609,,0.000055889999999999995,0.9526569539794869,,0.000055889999999999995,1.62,,0.000055889999999999995,1.62,,0.000055889999999999995,1.2851788212865487
0.000071515,2.0112540947037254,,0.000071515,1.6187606234583463,,0.000071515,1.6187606234583463,,0.000071515,1.6187606234583463,,0.000071515,1.2162087852122627,,0.000071515,1.2162087852122627,,0.000071515,1.2162087852122627,,0.000071515,1.2162087865911855,,0.000071515,0.8139667787140493,,0.000071515,0.8139667787140493,,0.000071515,0.8158658595446409,,0.000071515,1.62,,0.000071515,1.62,,0.000071515,1.2169827332142888
0.00008714,2.0644718045387465,,0.00008714,1.6187962196163617,,0.00008714,1.6187962196163617,,0.00008714,1.6187962196163617,,0.00008714,1.1631281920722365,,0.00008714,1.1631281920722365,,0.00008714,1.1631281920722365,,0.00008714,1.1631281930926436,,0.00008714,0.707661050610418,,0.00008714,0.707661050610418,,0.00008714,0.7090395711520039,,0.00008714,1.62,,0.00008714,1.62,,0.00008714,1.1638299058109551
0.000102765,2.1006087121880035,,0.000102765,1.6188149668714287,,0.000102765,1.6188149668714287,,0.000102765,1.6188149668714287,,0.000102765,1.127101711504057,,0.000102765,1.127101711504057,,0.000102765,1.127101711504057,,0.000102765,1.1271017123441986,,0.000102765,0.6355352252977561,,0.000102765,0.6355352252977561,,0.000102765,0.6363858374825074,,0.000102765,1.62,,0.000102765,1.62,,0.000102765,1.127767011721953
0.00011839,2.1182760965563463,,0.00011839,1.6188122674313288,,0.00011839,1.6188122674313288,,0.00011839,1.6188122674313288,,0.00011839,1.1095060638465803,,0.00011839,1.1095060638465803,,0.00011839,1.1095060638465803,,0.00011839,1.1095060647106127,,0.00011839,0.6003531385891854,,0.00011839,0.6003531385891854,,0.00011839,0.6006004784141398,,0.00011839,1.62,,0.00011839,1.62,,0.00011839,1.1101759662425283
0.000134015,2.116795009970483,,0.000134015,1.6187920808753662,,0.000134015,1.6187920808753662,,0.000134015,1.6187920808753662,,0.000134015,1.1110251492251493,,0.000134015,1.1110251492251493,,0.000134015,1.1110251492251493,,0.000134015,1.1110251502971549,,0.000134015,0.6034745710916745,,0.000134015,0.6034745710916745,,0.000134015,0.6031490373397955,,0.000134015,1.62,,0.000134015,1.62,,0.000134015,1.1117366616732494
0.00014963999999999998,2.0962223697573052,,0.00014963999999999998,1.618751348499987,,0.00014963999999999998,1.618751348499987,,0.00014963999999999998,1.618751348499987,,0.00014963999999999998,1.1315929187039315,,0.00014963999999999998,1.1315929187039315,,0.00014963999999999998,1.1315929187039315,,0.00014963999999999998,1.131592920179314,,0.00014963999999999998,0.6447719542079501,,0.00014963999999999998,0.6447719542079501,,0.00014963999999999998,0.6438487554258046,,0.00014963999999999998,1.62,,0.00014963999999999998,1.62,,0.00014963999999999998,1.1323853125843049
0.000165265,2.0573487709429363,,0.000165265,1.6186954488524457,,0.000165265,1.6186954488524457,,0.000165265,1.6186954488524457,,0.000165265,1.1704265884582907,,0.000165265,1.1704265884582907,,0.000165265,1.1704265884582907,,0.000165265,1.1704265904974982,,0.000165265,0.7226657155106172,,0.000165265,0.7226657155106172,,0.000165265,0.721215188276978,,0.000165265,1.62,,0.000165265,1.62,,0.000165265,1.1713321362695093
