X--Trace 1::[transient: TIME],Y--Trace 1::[PR1: V(1)],,X--Trace 2::[transient: TIME],Y--Trace 2::[PR2: V(2)],,X--Trace 3::[transient: TIME],Y--Trace 3::[PR3: V(2)],,X--Trace 4::[transient: TIME],Y--Trace 4::[PR4: V(2)],,X--Trace 5::[transient: TIME],Y--Trace 5::[PR5: V(3)],,X--Trace 6::[transient: TIME],Y--Trace 6::[PR6: V(3)],,X--Trace 7::[transient: TIME],Y--Trace 7::[PR7: V(3)],,X--Trace 8::[transient: TIME],Y--Trace 8::[PR8: V(5)],,X--Trace 9::[transient: TIME],Y--Trace 9::[PR9: V(7)],,X--Trace 10::[transient: TIME],Y--Trace 10::[PR14: V(7)],,X--Trace 11::[transient: TIME],Y--Trace 11::[PR10: V(8)],,X--Trace 12::[transient: TIME],Y--Trace 12::[PR11: V(4)],,X--Trace 13::[transient: TIME],Y--Trace 13::[PR12: V(4)],,X--Trace 14::[transient: TIME],Y--Trace 14::[PR13: V(6)]
0,1.62,,0,1.6183075931279738,,0,1.6183075931279738,,0,1.6183075931279738,,0,1.6064053551669193,,0,1.6064053551669193,,0,1.6064053551669193,,0,1.6064053870941282,,0,1.598563677217693,,0,1.598563677217693,,0,1.5985636771361662,,0,1.62,,0,1.62,,0,1.6080899403592042
1e-7,1.6206283183653514,,1e-7,1.6183904253894146,,1e-7,1.6183904253894146,,1e-7,1.6183904253894146,,1e-7,1.6059427026982656,,1e-7,1.6059427026982656,,1e-7,1.6059427026982656,,1e-7,1.6059427285181098,,1e-7,1.5973235448423886,,1e-7,1.5973235448423886,,1e-7,1.5981986102020225,,1e-7,1.62,,1e-7,1.62,,1e-7,1.607401078469277
2e-7,1.6212566357385019,,2e-7,1.6184051219029303,,2e-7,1.6184051219029303,,2e-7,1.6184051219029303,,2e-7,1.6053437804865482,,2e-7,1.6053437804865482,,2e-7,1.6053437804865482,,2e-7,1.6053438077636415,,2e-7,1.5963426697918042,,2e-7,1.5963426697918042,,2e-7,1.59765226328071,,2e-7,1.62,,2e-7,1.62,,2e-7,1.6068561239054893
4e-7,1.6225132635394095,,4e-7,1.6184117918457757,,4e-7,1.6184117918457757,,4e-7,1.6184117918457757,,4e-7,1.6041004981567883,,4e-7,1.6041004981567883,,4e-7,1.6041004981567883,,4e-7,1.6041005236461452,,4e-7,1.5939855005848307,,4e-7,1.5939855005848307,,4e-7,1.5961873364783334,,4e-7,1.62,,4e-7,1.62,,4e-7,1.605546614902094
8e-7,1.6250264635783653,,8e-7,1.6184106897406223,,8e-7,1.6184106897406223,,8e-7,1.6184106897406223,,8e-7,1.6015851127182672,,8e-7,1.6015851127182672,,8e-7,1.6015851127182672,,8e-7,1.6015851412488529,,8e-7,1.5896606056440514,,8e-7,1.5896606056440514,,8e-7,1.5922170990935738,,8e-7,1.62,,8e-7,1.62,,8e-7,1.603143845461705
0.0000016,1.6300524191627288,,0.0000016,1.618418662858223,,0.0000016,1.618418662858223,,0.0000016,1.618418662858223,,0.0000016,1.5965751713942082,,0.0000016,1.5965751713942082,,0.0000016,1.5965751713942082,,0.0000016,1.596575195921803,,0.0000016,1.5803756290650248,,0.0000016,1.5803756290650248,,0.0000016,1.583214151686966,,0.0000016,1.62,,0.0000016,1.62,,0.0000016,1.5979855911009981
0.0000032,1.6401007746814766,,0.0000032,1.6184259300118071,,0.0000032,1.6184259300118071,,0.0000032,1.6184259300118071,,0.0000032,1.5865416079220431,,0.0000032,1.5865416079220431,,0.0000032,1.5865416079220431,,0.0000032,1.5865416362206117,,0.0000032,1.562566550750181,,0.0000032,1.562566550750181,,0.0000032,1.5651426897504137,,0.0000032,1.62,,0.0000032,1.62,,0.0000032,1.5880915967627591
0.0000064,1.6601690500666972,,0.0000064,1.6184483092668276,,0.0000064,1.6184483092668276,,0.0000064,1.6184483092668276,,0.0000064,1.566519092640812,,0.0000064,1.566519092640812,,0.0000064,1.566519092640812,,0.0000064,1.566519115458592,,0.0000064,1.5261601041918218,,0.0000064,1.5261601041918218,,0.0000064,1.5289987752281542,,0.0000064,1.62,,0.0000064,1.62,,0.0000064,1.567865883606723
0.000012479999999999999,1.698093113473714,,0.000012479999999999999,1.6184841258761988,,0.000012479999999999999,1.6184841258761988,,0.000012479999999999999,1.6184841258761988,,0.000012479999999999999,1.5286703425324641,,0.000012479999999999999,1.5286703425324641,,0.000012479999999999999,1.5286703425324641,,0.000012479999999999999,1.5286703659141319,,0.000012479999999999999,1.458069282073224,,0.000012479999999999999,1.458069282073224,,0.000012479999999999999,1.4607490388608038,,0.000012479999999999999,1.62,,0.000012479999999999999,1.62,,0.000012479999999999999,1.5300376403187443
0.000024639999999999998,1.7723556843138335,,0.000024639999999999998,1.6185549913598045,,0.000024639999999999998,1.6185549913598045,,0.000024639999999999998,1.6185549913598045,,0.000024639999999999998,1.4545637307077979,,0.000024639999999999998,1.4545637307077979,,0.000024639999999999998,1.4545637307077979,,0.000024639999999999998,1.4545637505837687,,0.000024639999999999998,1.3244422217631924,,0.000024639999999999998,1.3244422217631924,,0.000024639999999999998,1.3270390621387316,,0.000024639999999999998,1.62,,0.000024639999999999998,1.62,,0.000024639999999999998,1.4558004432871807
