X--Trace 1::[transient: TIME],Y--Trace 1::[PR1: V(1)],,X--Trace 2::[transient: TIME],Y--Trace 2::[PR2: V(2)],,X--Trace 3::[transient: TIME],Y--Trace 3::[PR3: V(2)],,X--Trace 4::[transient: TIME],Y--Trace 4::[PR4: V(2)],,X--Trace 5::[transient: TIME],Y--Trace 5::[PR5: V(3)],,X--Trace 6::[transient: TIME],Y--Trace 6::[PR6: V(3)],,X--Trace 7::[transient: TIME],Y--Trace 7::[PR7: V(3)],,X--Trace 8::[transient: TIME],Y--Trace 8::[PR8: V(5)],,X--Trace 9::[transient: TIME],Y--Trace 9::[PR9: V(7)],,X--Trace 10::[transient: TIME],Y--Trace 10::[PR14: V(7)],,X--Trace 11::[transient: TIME],Y--Trace 11::[PR10: V(8)],,X--Trace 12::[transient: TIME],Y--Trace 12::[PR11: V(4)],,X--Trace 13::[transient: TIME],Y--Trace 13::[PR12: V(4)],,X--Trace 14::[transient: TIME],Y--Trace 14::[PR13: V(6)]
0,1.62,,0,1.6183075931279718,,0,1.6183075931279718,,0,1.6183075931279718,,0,1.6064053551665793,,0,1.6064053551665793,,0,1.6064053551665793,,0,1.6064053870293569,,0,1.596177336215334,,0,1.596177336215334,,0,1.5961773361339289,,0,1.62,,0,1.62,,0,1.6080875539438828
1e-7,1.6206283183653514,,1e-7,1.618326112758281,,1e-7,1.618326112758281,,1e-7,1.618326112758281,,1e-7,1.6063019153570384,,1e-7,1.6063019153570384,,1e-7,1.6063019153570384,,1e-7,1.6063019456154772,,1e-7,1.5958515520242431,,1e-7,1.5958515520242431,,1e-7,1.5960814326334618,,1e-7,1.62,,1e-7,1.62,,1e-7,1.6079246915603322
2e-7,1.6212566357385019,,2e-7,1.6183276025510307,,2e-7,1.6183276025510307,,2e-7,1.6183276025510307,,2e-7,1.6061780400811283,,2e-7,1.6061780400811283,,2e-7,1.6061780400811283,,2e-7,1.6061780710193372,,2e-7,1.5956541788612697,,2e-7,1.5956541788612697,,2e-7,1.5959556587583994,,2e-7,1.62,,2e-7,1.62,,2e-7,1.6078259923921174
4e-7,1.6225132635394095,,4e-7,1.618328205888013,,4e-7,1.618328205888013,,4e-7,1.618328205888013,,4e-7,1.6059274396774061,,4e-7,1.6059274396774061,,4e-7,1.6059274396774061,,4e-7,1.6059274698284187,,4e-7,1.59509463146848,,4e-7,1.59509463146848,,4e-7,1.595613442876792,,4e-7,1.62,,4e-7,1.62,,4e-7,1.6075462332774828
8e-7,1.6250264635783653,,8e-7,1.6183284370945705,,8e-7,1.6183284370945705,,8e-7,1.6183284370945705,,8e-7,1.6054250809459225,,8e-7,1.6054250809459225,,8e-7,1.6054250809459225,,8e-7,1.6054251124855248,,8e-7,1.5941928166185166,,8e-7,1.5941928166185166,,8e-7,1.5947312787515724,,8e-7,1.62,,8e-7,1.62,,8e-7,1.6070953001449053
0.0000016,1.6300524191627288,,0.0000016,1.6183296754186562,,0.0000016,1.6183296754186562,,0.0000016,1.6183296754186562,,0.0000016,1.6044213895636859,,0.0000016,1.6044213895636859,,0.0000016,1.6044213895636859,,0.0000016,1.6044214192458337,,0.0000016,1.592047752024366,,0.0000016,1.592047752024366,,0.0000016,1.5927165912275325,,0.0000016,1.62,,0.0000016,1.62,,0.0000016,1.606022802260877
0.0000032,1.6401007746814766,,0.0000032,1.61833144839392,,0.0000032,1.61833144839392,,0.0000032,1.61833144839392,,0.0000032,1.6024138978761993,,0.0000032,1.6024138978761993,,0.0000032,1.6024138978761993,,0.0000032,1.6024139295221522,,0.0000032,1.5881782721325082,,0.0000032,1.5881782721325082,,0.0000032,1.5887099289515356,,0.0000032,1.62,,0.0000032,1.62,,0.0000032,1.604088025977583
0.0000064,1.6601690500666972,,0.0000064,1.6183356270470326,,0.0000064,1.6183356270470326,,0.0000064,1.6183356270470326,,0.0000064,1.5984054581771814,,0.0000064,1.5984054581771814,,0.0000064,1.5984054581771814,,0.0000064,1.5984054873898002,,0.0000064,1.579980970495249,,0.0000064,1.579980970495249,,0.0000064,1.5806559067201273,,0.0000064,1.62,,0.0000064,1.62,,0.0000064,1.5999894202817098
0.000012479999999999999,1.698093113473714,,0.000012479999999999999,1.6183429401465135,,0.000012479999999999999,1.6183429401465135,,0.000012479999999999999,1.6183429401465135,,0.000012479999999999999,1.590830158791167,,0.000012479999999999999,1.590830158791167,,0.000012479999999999999,1.590830158791167,,0.000012479999999999999,1.590830188768978,,0.000012479999999999999,1.5648869307677746,,0.000012479999999999999,1.5648869307677746,,0.000012479999999999999,1.5654818373837411,,0.000012479999999999999,1.62,,0.000012479999999999999,1.62,,0.000012479999999999999,1.5924423863610933
0.000024639999999999998,1.7723556843138335,,0.000024639999999999998,1.6183571278908992,,0.000024639999999999998,1.6183571278908992,,0.000024639999999999998,1.6183571278908992,,0.000024639999999999998,1.575997519702774,,0.000024639999999999998,1.575997519702774,,0.000024639999999999998,1.575997519702774,,0.000024639999999999998,1.5759975488757336,,0.000024639999999999998,1.5351617054746842,,0.000024639999999999998,1.5351617054746842,,0.000024639999999999998,1.5357398212796955,,0.000024639999999999998,1.62,,0.000024639999999999998,1.62,,0.000024639999999999998,1.5775797888419756
